Concrete_Strength(MPa) Transversel_y_(MPa) Longitudinal_C_y_(MPa) Longitudinal_I_y_(MPa) Width_(mm) Depth_(mm) Length_Inflection_(mm) Length_Measured_(mm) Axial_Load_(kN) Longitudinal_reinforcement_Ratio Transverse_reinforcement_Ratio Span-to-depth_Ratio Axial_Load_Ratio Failure_Type
30.7	275	535	367	367	578	305	305	267	0.0163	0.009	5.5	0.093	Flexure
29.2	275	535	367	367	578	305	305	267	0.0163	0.015	5.5	0.098	Flexure
27.6	275	535	429	429	657	305	305	267	0.0163	0.009	5.5	0.104	Flexure
29.4	275	530	429	429	657	305	305	534	0.0163	0.015	5.5	0.195	Flexure
31.8	275	530	429	429	657	305	305	534	0.0163	0.009	5.5	0.181	Flexure
33.3	275	530	363	363	563	305	305	801	0.0163	0.015	5.5	0.259	Flexure
32.4	275	530	363	363	563	305	305	801	0.0163	0.009	5.5	0.266	Flexure
31	275	492	363	363	563	305	305	801	0.0163	0.015	5.5	0.278	Flexure
31.8	275	492	363	363	563	305	305	801	0.0163	0.009	5.5	0.271	Flexure
34.9	414	441	441	230	410	455	455	534	0.0301	0.003	1.11	0.162	Shear
34.9	414	441	441	410	230	455	455	534	0.0301	0.003	1.98	0.162	Shear
42	414	441	441	230	410	455	455	1068	0.0301	0.003	1.11	0.27	Shear
29.9	414	462	462	305	305	457	457	288	0.0244	0.003	1.5	0.104	Shear
39.3	454	439	439	457	457	1372	1372	1690	0.0194	0.022	3	0.206	Flexure
39.8	616	439	439	457	457	1372	1372	2580	0.0194	0.013	3	0.31	Flexure
43.6	470	430	430	350	350	1000	1000	0	0.0321	0.009	2.86	0	Flexure
34.8	470	430	430	350	350	1000	1000	600	0.0321	0.017	2.86	0.141	Flexure
32	470	438	438	350	350	1000	1000	600	0.0321	0.025	2.86	0.153	 Flexure
37.3	425	437	437	350	350	1000	1000	600	0.0321	0.02	2.86	0.131	 Flexure
39	425	437	437	350	350	1000	1000	600	0.0321	0.02	2.86	0.126	 Flexure
80	430	430	430	250	250	1140	1140	1500	0.0151	0.012	4.56	0.3	Flexure
80	430	430	430	250	250	1140	1140	1500	0.0151	0.012	4.56	0.3	 Flexure
80	430	430	430	250	250	1140	1140	1000	0.0151	0.012	4.56	0.2	Flexure
80	430	430	430	250	250	1140	1140	1000	0.0151	0.012	4.56	0.2	Flexure
80	430	430	430	250	250	1140	1140	1000	0.0151	0.018	4.56	0.2	Flexure
80	430	430	430	250	250	1140	1140	1500	0.0151	0.018	4.56	0.3	Flexure
80	430	430	430	250	250	1140	1140	1500	0.0151	0.018	4.56	0.3	Flexure
80	430	430	430	250	250	1140	1140	1000	0.0151	0.018	4.56	0.2	Flexure
80	430	430	430	250	250	1140	1140	1000	0.0151	0.037	4.56	0.2	Flexure
80	430	430	430	250	250	1140	1140	1500	0.0151	0.037	4.56	0.3	Flexure
80	430	430	430	250	250	1140	1140	1000	0.0151	0.037	4.56	0.2	Flexure
